track_id,track_name,track_popularity,track_album_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7CHi4DtfK4heMlQaudCuHK,Lose Control,91,1qSOaTvsCOyFJya3v1UzkP,pop,dance pop,0.598,0.526,10,-8.659,0,0.0415,0.129,0,0.14,0.529,123.935,168387
1CW7tYkpJ95c7bQkRf6CcK,I Wanna Dance,67,3niF8tyjfJw8pmfc6VYKGa,pop,dance pop,0.825,0.841,0,-6.433,1,0.135,0.0906,0.00411,0.258,0.616,126.026,184582
1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,93,3tBkjgxDqAwss76O1YHsSY,pop,post-teen pop,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206459
21jGcNKet2qwijlDFuPiPb,Circles,98,4g1ZRSobMefqF6nelkgibi,pop,post-teen pop,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,94,5658aM19fA3JVwTK6eQX70,pop,post-teen pop,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161
6v3KW9xbzN5yKLt9YKDYA2,Señorita,88,0xzScN8P3hQAz3BT3YYX5w,pop,post-teen pop,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800
1ZPWWSwCkxKfqdp4H0RFCo,ROXANNE,71,1BAHbTOKeZ1w0DeFSVi5Tn,pop,post-teen pop,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636
6vBdBCoOhKHiYDDOcorfNo,Goodbyes (Feat. Young Thug),51,4FFBjcmX06VmazABtpRMyv,pop,post-teen pop,0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,174960
0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),84,3oIFxDIo2fwuk4lwCmFZCx,pop,post-teen pop,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947
6moU77g9RQyMzHNuKEaQKq,It's You,68,40vQONzvJb6sKejDN3eWza,pop,post-teen pop,0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,212607
421leiR6jKlH5KDdwLYrOs,Dance Monkey,43,5i6CS5XcLZGLgaNCKlJvc2,pop,post-teen pop,0.824,0.592,6,-6.4,0,0.0969,0.693,1.58E-04,0.178,0.54,98.074,209755
4R9ATNRRl1uth17i5qDCc0,I.F.L.Y.,33,5Q4g8NWSgDf0AEE0Vy7bz9,pop,post-teen pop,0.812,0.519,2,-4.823,1,0.0385,0.379,0,0.13,0.554,104.954,165714
7MRghgE1RnubxFJBfUEPwt,One Touch (with ‪Jess Glynne),16,7amY1CW9j5LtD2Bbsx1FJO,pop,post-teen pop,0.69,0.757,0,-5.16,0,0.244,0.533,0,0.202,0.581,124.273,197747
4Jwp3yjIQfudmjuctLQlfJ,No More (feat. Brenda Mullen) - Bottai Edit,19,72KW8nIFEscnr5wwEQKVGS,pop,post-teen pop,0.675,0.674,4,-6.329,1,0.0372,0.00339,8.55E-05,0.279,0.414,125.037,200640
7FjZU7XFs7P9jHI9Z0yRhK,So Close,79,4ZIaWbFnkMozASM1CA59K6,pop,post-teen pop,0.7,0.872,10,-5.896,1,0.0666,0.121,7.08E-06,0.103,0.761,125.03,190302
6GyFP1nfCDB8lbD2bG0Hq9,Midnight City,74,6EB14IXV5oyOiItGBv7mtG,pop,electropop,0.507,0.729,11,-5.399,0,0.0393,0.0182,1.4E-06,0.0658,0.272,105.013,243960
5O6pHvBKgAKX8FyhE6vwon,Hold Tight,32,0KmyVq8kx8HK2Vbl9cOI1g,pop,electropop,0.543,0.662,0,-10.177,1,0.0301,0.09,0.527,0.149,0.22,126.983,249449
3m71siVDw8qXKAdpO9zLiT,Someone New,45,6yTaSm8NY1fUrKhusuVYz0,pop,electropop,0.588,0.627,5,-7.249,0,0.0453,0.0149,0.105,0.375,0.39,112.018,182143
3FtYbEfBqAlGO46NUDQSAt,Electric Feel,77,6mm1Skz3JE6AXneya9Nyiv,pop,electropop,0.763,0.807,1,-3.714,1,0.035,0.0714,0.28,0.348,0.559,103.038,229640
0R2HfrviMaDTkM0u9GUXYV,Home,26,2gPL6gShEyraQ0BDA89FaL,pop,electropop,0.536,0.564,8,-11.09,0,0.0345,0.0745,0.00106,0.11,0.471,79.974,237875
0u7jABgfx6EHQHxpFOeyNS,Open Up,39,7LktlUIPJnyz5IKvvsIHNy,pop,electropop,0.512,0.757,9,-7.98,0,0.0274,0.00507,0.948,0.298,0.329,116.016,231207
6BwR8E925bOoGHFPS5tEOE,Megaton Mile,56,0ORZb7kyr8aaP2LpL3mhuY,pop,electropop,0.542,0.811,0,-5.07,0,0.0759,0.0476,1.68E-04,0.813,0.58,120.477,266533
5yM5T514epudM57zi4jlL0,Synchro,12,2pxkCBCXYGYMoQ7bUOnri6,pop,electropop,0.71,0.719,0,-7.336,0,0.0374,0.266,1.51E-06,0.108,0.626,115.964,304138
7MKz0cVNK5cGImTwxyECkm,Hourglass,0,0yStJMXwVQHIPNLj86S7ms,pop,electropop,0.577,0.592,7,-7.259,0,0.029,0.35,0.655,0.163,0.262,124.973,208748
4TnjEaWOeW0eKTKIEvJyCa,Falling,97,1Czfd5tEby3DbdYNdqzrCa,pop,electropop,0.784,0.43,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.087,159382
70B5oP5ng1QYClkJ9CeWly,World In My Eyes - 2006 Remastered Version,49,5g3Yi15plTSMaq6tYiuw8p,pop,electropop,0.66,0.881,10,-7.802,0,0.0419,0.00737,0.833,0.0514,0.949,122.244,267040
3FSPaBp49Clqq2p4zc9dbA,Photograph,52,3hA2oZbZwHU8tSPBFIZhFr,pop,electropop,0.614,0.379,4,-10.48,1,0.0476,0.607,4.64E-04,0.0986,0.201,107.989,258987
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,85,7oiJYvEJHsmYtrgviAVIBD,pop,electropop,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,211467
5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,79,2CxrZinzjDXZidyx5EP214,pop,indie poptimism,0.606,0.799,9,-4.452,1,0.0261,0.0128,0,0.15,0.638,103.014,232907
3GzZfni9NCD54x1prgpIYl,Daphne Blue,13,2B4wLLLPV8rAnpmdBAykxs,pop,indie poptimism,0.567,0.925,1,-2.775,0,0.0906,0.00239,0.0054,0.348,0.704,118.006,182840
3lPj2nA1lIrWIpbnhNG57v,these are my friends,59,2AbPwLvpR0FwpqGt4ZY1q4,pop,indie poptimism,0.617,0.732,11,-6.737,0,0.0278,0.0278,0,0.125,0.723,84.977,208947
368q7QWp27Qbvh7wWFIyA2,Once In A Lifetime,24,3quX4dfWbeOg7KObpWya4q,pop,indie poptimism,0.758,0.805,6,-4.725,0,0.113,0.0343,1.37E-05,0.0458,0.587,107.935,178377
2i1CnSeLjppv41BTuc7qhY,Frail State Of Mind,69,1KAWoDpnecuSNHijVTrWxn,pop,indie poptimism,0.566,0.676,9,-6.498,1,0.0383,0.0147,0.00672,0.0733,0.0492,127.973,234812
3lWHWGrRrVrEoYwolWZ38x,"Replace It, Forget It",35,2dr0NK4uPs9AtNtMvuwmT6,pop,indie poptimism,0.554,0.768,6,-6.042,0,0.0387,0.00794,0.0145,0.356,0.753,150.062,206223
7yCyhsU75MYdbeqRLhLY51,smiling when i die,68,5bHqzyMbrdJTLui0HQdRG0,pop,indie poptimism,0.753,0.41,0,-10.636,0,0.132,0.816,0.00217,0.104,0.231,93.001,206437
3GRSqlALWISqLeNncZMbpX,Mean It,85,4aoWQU2gSUjl4AZeCPSo1b,pop,indie poptimism,0.746,0.45,7,-8.543,1,0.0872,0.0407,0,0.172,0.336,95.998,232853
65Bynqyt59f3fojjs1Uo41,Stay With Me,68,7arFGGWl2p1FTC3LPTw7Dz,pop,indie poptimism,0.695,0.695,2,-6.612,1,0.0706,0.489,1.9E-04,0.131,0.468,100.021,189787
46QBu7dvDRKji86LUB2Vaa,Low Tide,38,3K2AuduvjqxMs8eLxhyMVy,pop,indie poptimism,0.559,0.799,9,-5.807,0,0.0455,3.97E-04,0.00958,0.0609,0.367,116.975,202532
75ylrnob5O80WTKi9ugZ1Z,Problems,72,1qnAzDoa24ZYCZDzmP74sL,pop,indie poptimism,0.72,0.658,2,-7.414,1,0.0446,0.0329,0.0302,0.123,0.134,98.001,171898
4py6PECWsrYuAAUk84XmVI,Erase Yourself,2,1J0tz0pdYf7XM1QKiSfddq,pop,indie poptimism,0.413,0.569,4,-8.921,1,0.0313,0.296,0.0107,0.0911,0.0504,154.815,227040
0nbXyq5TXYPCO7pr3N8S4I,The Box,98,52u4anZbHd6UInnmHRFzba,rap,hip hop,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653
3R8CyhJfVjvgIROd5RSGhQ,I Can See,73,5sY6UIQ32GqwMLAfSNEaXb,rap,hip hop,0.699,0.503,5,-9.922,0,0.0882,0.391,0.0126,0.0996,0.0546,114.86,220853
2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,91,4uTOUYhLrGRKkfxfPKTkuy,rap,hip hop,0.881,0.457,7,-8.191,0,0.156,0.0327,0,0.231,0.296,136.97,198913
2u3EyuCqqV31woqGvO9LBz,Sum 2 Prove,81,7KPtAktRGrVjy0QV3MXnZk,rap,hip hop,0.823,0.552,4,-7.57,0,0.324,0.0174,0,0.122,0.418,124.038,205760
5rSVQzJQ5nMUcFJDkJMfzL,First Place,60,3IUuhdkjrVNZQZK9V1rB3q,rap,hip hop,0.656,0.566,0,-9.501,1,0.339,0.0125,0,0.0655,0.563,137.215,199992
3Gzcb65waeZYidm0vSaelM,Red Light,56,3QqkbNMuerqYvLZcDGp9zk,rap,hip hop,0.846,0.716,1,-5.516,1,0.236,0.00101,0,0.244,0.213,98.005,127347
4Chy83oRs3pToekNNpvTU6,Her,35,4cta5VqXzzYJTJSv2onh2C,rap,hip hop,0.737,0.723,1,-9.483,0,0.0673,0.104,0.851,0.0979,0.334,89.967,123333
6vhSIjj1M9HU9OnOi8sdqX,Verbania,44,7GBktDLN4nG7Ek5xeQllDX,rap,hip hop,0.61,0.341,7,-11.056,1,0.0499,0.179,0.807,0.113,0.69,146.005,124932
0cZcOtDqLaavK7LowhTBsa,sunny,65,0enwhVDrDgNf2QpeleSUSZ,rap,hip hop,0.811,0.429,0,-11.503,1,0.0789,0.468,0.607,0.109,0.646,138.027,139130
2NEjPjHPuTjUqQ8MoIWi0Z,no stress,15,2ytUOoS3iYfCzXQ7tRtvhh,rap,hip hop,0.611,0.702,0,-6.944,1,0.0366,0.145,0.176,0.424,0.734,89.999,229407
5BEX5jMEkOB8Zr1dUft3Mg,bedroom,5,4360Bb2FpRG1AQtIHWThKC,rap,hip hop,0.77,0.0161,4,-14.233,1,0.162,0.905,0.914,0.113,0.7,75.047,153600
1mEFsctBXKX6nmashVJ8Gu,Sauce,27,5UpqAvXqiliEC9Vwklhwd4,rap,hip hop,0.731,0.654,1,-6.619,0,0.0548,0.296,3.47E-06,0.51,0.786,152.918,189804
6vye1WybNriUDdlZTbDidn,Cadillac on 22's,0,4okc4TNj7LPu0DuEnUvSKY,rap,southern hip hop,0.881,0.537,5,-5.77,1,0.0764,0.13,0,0.096,0.553,145.092,263387
57KCUxlvVWtnz3qGnxNna2,85/Billy Dee Interlude,21,5sPFD4RDETXKqmCsGQF8Wk,rap,southern hip hop,0.806,0.6,7,-7.454,1,0.365,0.0288,8.35E-06,0.619,0.727,82.147,269840
2334WaCjswLcRIRgTTPWaZ,Hustler Musik,55,7slHgsEMuJfnuft5LAPyw6,rap,southern hip hop,0.661,0.746,8,-2.223,0,0.25,0.36,0,0.454,0.678,83.939,303667
2bQdgtO42TfS37YWupeMrr,Int'l Players Anthem (I Choose You) (feat. OutKast),60,4lWWlBbKuWBk7xgKEkevSg,rap,southern hip hop,0.697,0.681,4,-5.084,0,0.219,0.0598,0,0.301,0.82,77.847,258987
56hvN4r1qI7kDW9cw1lVov,Hay,42,1R5AaySMUzB0lmuwQ49YJO,rap,southern hip hop,0.749,0.733,11,-9.163,0,0.0611,0.0302,0,0.151,0.897,139.935,260240
7dpFJmdFiahlgzzEmgUwoN,Virginia,38,1Q83nQO2QG81TVa10hW7LX,rap,southern hip hop,0.643,0.878,11,-2.729,0,0.341,0.0589,0,0.626,0.613,159.709,237440
7u6aTzXw1JtiK5sr7XctFs,Bring Em Out,6,4hOTRlVLwjVtOrp9C5MX3E,rap,southern hip hop,0.759,0.891,11,-2.983,1,0.257,0.0298,0,0.141,0.587,98.579,216707
7LqnglgrosirX2c7C44Cnw,"Money, Hoes & Power (feat. Jermaine Dupri)",15,4lWWlBbKuWBk7xgKEkevSg,rap,southern hip hop,0.914,0.837,1,-5.338,1,0.153,0.108,6.42E-06,0.0286,0.977,143.975,258133
3OKB1WDMcWX6d4nwvyC4o0,Blowin' Trees (+ Napdonalds Skit),29,0bBs62WaX2oJOq2W35BDis,rap,southern hip hop,0.566,0.698,5,-5.821,0,0.462,0.182,0,0.665,0.753,92.848,257267
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,77,2tm3Ht61kqqRZtIYsBjxEj,rap,southern hip hop,0.843,0.805,4,-5.946,0,0.269,0.142,0,0.0771,0.615,94.946,270507
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,84,4eLPsYPBmXABThSJ821sqY,rap,southern hip hop,0.908,0.621,1,-6.638,0,0.102,2.82E-04,5.39E-05,0.0958,0.421,150.011,177000
3aGibUHhQyBsyumYHylw0K,Backseat Freestyle,67,3DGQ1iZ9XKUQxAUWjfC34w,rap,southern hip hop,0.546,0.651,1,-7.601,1,0.3,7.39E-04,0,0.235,0.646,77.878,212653
6aJ1RcRk7QfGxRnaqL0syV,Westside (feat. Chris Brown),31,6bPbKuFNW6Vausf1PExvd9,rap,southern hip hop,0.396,0.777,2,-4.025,0,0.135,0.0058,0,0.111,0.338,78.665,218627
48A3iXuphgaaQ3yoLeV5RJ,We Right Here,0,5I7EYZ1edjUbfyY5WR3l9X,rap,gangster rap,0.767,0.678,9,-7.795,1,0.137,0.00731,0,0.314,0.635,92.923,271013
37HlozQACAXm12NSaZIxF7,No Games,42,6nZJ328QRWOjMlvMMWOPGv,rap,gangster rap,0.759,0.828,8,-4.217,0,0.0532,0.0185,1.66E-06,0.159,0.353,146.58,233427
7rcZHRL3DrRtAy83R3nZVY,Talk To Me,21,0BFy7NMzHS6LsAOUgSYzD7,rap,gangster rap,0.786,0.612,8,-4.894,1,0.217,0.76,0,0.111,0.513,84.963,181673
7q8BhxU2ZpUlXqmEy6nKFb,You Tried It,62,5whQ0P8HBzpQHmvKioxbkz,rap,gangster rap,0.854,0.728,7,-4.01,1,0.298,0.025,0,0.0642,0.616,94.907,126871
598yNsG1JFrGd4n2kMoz7F,Woah,88,393l0NdTr8Rv0hybf4FTxy,rap,gangster rap,0.882,0.602,11,-5.554,1,0.245,0.0177,0,0.178,0.43,142.959,183011
2iObjOsy2vpsariW4Y7hQg,Costa Rica,67,5mBTgXuk68h77WNzdvuOT7,rap,gangster rap,0.9,0.482,11,-8.98,0,0.421,0.201,0,0.106,0.68,127.866,114965
2ej6iCFQWQDD7c1DE4lmGq,Eyes Closed,38,4etacNWehEKEXR9fmFb9B2,rap,gangster rap,0.746,0.693,1,-6.522,0,0.146,0.307,7.87E-06,0.0921,0.672,83.527,138213
2urL6rzs1bdZTtDGvPdYVt,BADU,27,41TjRJ2rTbGJYZrsmBoQQW,rap,gangster rap,0.64,0.605,9,-8.263,0,0.184,0.419,0,0.121,0.201,99.775,175200
1FvOiE8MGWB8MUCAPvro3h,Flowers,50,6qUFkYctUITXkByoa80xbi,rap,gangster rap,0.754,0.652,11,-4.924,0,0.0308,0.174,0,0.113,0.474,95.006,192013
0j5X6DrzkgY64Mm8NQp5mi,Lose Yourself - Soundtrack Version,8,5fOMATuYQp3StRe5ViADAH,rap,gangster rap,0.69,0.747,2,-4.583,1,0.264,0.00984,6.85E-04,0.355,0.0703,171.367,326640
0Zh5U48tZNeAzzLTV1CVBE,Forgot About Dre,16,5csXMdS69VOvh8MjyfwkjB,rap,gangster rap,0.925,0.737,8,-1.292,1,0.0777,0.092,0,0.169,0.603,133.946,222240
4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,77,2P2Xwvh2xWXIZ1OWY9S9o5,rap,gangster rap,0.788,0.859,1,-5.542,1,0.315,0.127,0,0.348,0.769,140.027,219333
5l93giGtSBNAJUVj8hPygt,C'est La Vie,70,3jginAnZiyYJMbOkSxXzWb,rap,trap,0.735,0.798,11,-5.811,0,0.121,0.0924,3.62E-06,0.0978,0.245,106.006,188491
3CwocqtW6g2rCqsI8PQCf4,NIENTE,63,0geVcUH2Ev47y8h6wjLNM9,rap,trap,0.762,0.697,11,-6.626,0,0.103,0.298,0,0.0999,0.53,91.984,147391
2guNhJXjJVCHO5rYBVcm5H,Mea Muri Tu (feat. MV Killa & Yung Snapp),45,4ahmZju7aF9Uo5LR6Q5Ese,rap,trap,0.701,0.685,1,-3.937,0,0.0401,0.244,4.84E-05,0.786,0.592,112.041,194464
6PX2GtCt8YJzOQ4ulJM41k,Guarda Come Flexo 2,22,71WruKpJfmTKtE3xBUhfmw,rap,trap,0.843,0.528,1,-8.722,1,0.0657,0.061,4.52E-05,0.0617,0.459,140.05,178645
7hHf4gz7kGmkuwa6XMc88W,Stamm Fort (feat. Sfera Ebbasta),1,1oOK2SpMy11lyHC7mraEZ7,rap,trap,0.78,0.521,0,-5.094,1,0.123,0.0983,1.25E-04,0.0967,0.643,160.087,171375
12x8BhnvB1W4uk3VEHOXqa,Fácil,55,6BE4QSs59Zh9SBxMJe7AO6,rap,trap,0.877,0.42,7,-8.239,0,0.175,0.278,0,0.163,0.292,135.017,124444
4TynLuBe1VGcFJ5nUC0mmf,Me Pagan,49,5jmmPfNORNDD6otKQkyRb0,rap,trap,0.874,0.274,5,-13.499,1,0.452,0.209,2.41E-06,0.0993,0.213,147.072,127561
2CRbiMK0W14l71SpDKqKZM,Loca Remix,15,7cxeVJQVXJlwIblOXISb5j,rap,trap,0.795,0.751,8,-3.661,1,0.0675,0.337,0,0.0983,0.537,113.033,346460
63cd4JkwGgYJrbOizbfmsp,Pure Water (with Migos),31,1ypNy6o0C2ZbuuPPYkavVl,rap,trap,0.68,0.559,0,-5.545,1,0.129,0.172,0,0.318,0.137,202.006,194520
710n65RKfq0DtcRxxoQoV4,Oznaka Mężczyzn,47,1vx9tGIDmNsoCWHeKC9BvL,rap,trap,0.766,0.614,5,-8.209,0,0.154,0.105,0,0.147,0.57,155.992,175385
68poZGRClFTzLdeRz9X0M2,Panini,13,3ubteGlws5KJiIDSn45zz8,rap,trap,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,114893
1fCeXjoRExPP2qwSBh2aST,Black & White,81,6tkjU4Umpo79wwkgPMV3nZ,rap,trap,0.776,0.736,7,-4.612,1,0.247,0.0802,0,0.159,0.233,147.946,186945
0nbXyq5TXYPCO7pr3N8S4I,The Box,98,52u4anZbHd6UInnmHRFzba,rap,trap,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653
3YBZIN3rekqsKxbJc9FZko,Paradise City,78,3I9Z1nDCL4E0cP62flcbI5,rock,album rock,0.273,0.952,11,-8.762,1,0.0841,0.0169,0.0112,0.142,0.475,100.269,405640
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,82,3I9Z1nDCL4E0cP62flcbI5,rock,album rock,0.454,0.91,6,-7.766,1,0.0446,0.0852,0.0988,0.116,0.63,125.116,354520
4DnEyHNO8MdhFYFrDq73BV,Mr. Brownstone,59,3I9Z1nDCL4E0cP62flcbI5,rock,album rock,0.487,0.94,8,-9.284,1,0.0384,0.0254,1.69E-06,0.305,0.576,106.092,225707
2C4aYxNpoPkmoZ3ZdPeuOB,Knockin' On Heaven's Door,13,0yMBzueqNjfhtmhz0AthB7,rock,album rock,0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,336000
0ZEhlT9v8CdOKu55zhYGv9,Don't Cry (Original),15,4L5pz06MVlsWaTEjSQPN8h,rock,album rock,0.437,0.572,8,-8.648,0,0.0339,0.00191,0.00243,0.116,0.239,124.172,284800
2dyfo7lqKI7NtSAhUZwnoJ,My Michelle,57,3I9Z1nDCL4E0cP62flcbI5,rock,album rock,0.441,0.935,3,-8.49,1,0.0514,0.167,0.0298,0.513,0.308,103.467,218667
0GQuzKlkH0otZ01oMFzsSu,You're Crazy,4,5JKFiC2WVi9HtvJEm8CUB8,rock,album rock,0.417,0.983,1,-7.074,1,0.109,0.0146,0.0185,0.601,0.346,122.046,197200
04MNKrAnzrHDUzuXAtNoLr,Live And Let Die,9,4L5pz06MVlsWaTEjSQPN8h,rock,album rock,0.262,0.793,11,-8.668,1,0.0646,0.00968,0.08,0.115,0.247,152.447,183973
7D5n2kpYH2WSqIyEO9MeXf,Patience,67,1RCAG3LrDwYsNU5ZiUJlWi,rock,album rock,0.457,0.266,6,-14.465,1,0.0313,0.711,2.61E-04,0.124,0.372,120.459,354400
2uduMoxSNLkDBhyLS2JroT,Used To Love Her,48,6z5LStxyQzrUTrVxjiOXVU,rock,album rock,0.615,0.831,1,-9.394,1,0.0311,0.426,7.26E-05,0.184,0.914,135.114,191360
1JIQmOrYNMohZ8oygnm9Bg,Move To The City - Live In Japan / 1992,35,3nzKw4CYT0mAxI7xM41NyF,rock,album rock,0.252,0.973,10,-3.6,0,0.224,2.28E-04,0.472,0.99,0.347,159.054,475963
0yqcmfdOv3RuDXKaloCKxY,Sweet Child O' Mine - Live In Paris / 1992,50,3ZwjaVcnVo2TwhK8N8WWVs,rock,album rock,0.235,0.929,6,-3.644,1,0.0598,6.54E-04,0.00125,0.992,0.411,134.186,445173
1RX0sGFlP6GYbpJhyNDzKz,Oh Yoko! - Remastered 2010,21,1Og869cgT2qBmDw84KeUvk,rock,album rock,0.556,0.833,1,-10.702,1,0.0321,0.284,0.352,0.196,0.806,85.181,257933
2aSFLiDPreOVP6KHiWk4lF,Under Pressure - Remastered,59,7rq68qYz66mNdPfidhIEFa,rock,classic rock,0.663,0.712,2,-7.268,1,0.0479,0.524,0,0.0804,0.527,113.439,236520
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,82,3I9Z1nDCL4E0cP62flcbI5,rock,classic rock,0.454,0.91,6,-7.766,1,0.0446,0.0852,0.0988,0.116,0.63,125.116,354520
4cCQ0wBIc9YHhvOWvWNj7S,"Hotel California - Live at The Los Angeles Forum, 10/20-22/76",16,2A7TYsmTXaHAbQx6C3phKM,rock,classic rock,0.427,0.665,2,-8.515,1,0.0405,0.0145,0.00242,0.699,0.442,142.702,409520
2sXp9Qmvc7mRaDBjBgcGGi,Every Breath You Take - Remastered 2003,24,7yDxJXFPl88Dt9kBo0dDD6,rock,classic rock,0.813,0.46,1,-9.78,1,0.0346,0.56,0.0105,0.0724,0.729,117.387,253887
5SAUIWdZ04OxYfJFDchC7S,Smoke on the Water,64,1EK3a0Yctg4d3nGQzE4Uty,rock,classic rock,0.632,0.586,0,-11.333,1,0.0284,0.0983,0.581,0.0535,0.89,114.243,342173
3KiexfmhxHvG5IgAElmTkd,I Saw Her Standing There - Remastered 2009,71,3KzAvEXcqJKBF97HrXwlgf,rock,classic rock,0.491,0.801,4,-9.835,1,0.0361,0.27,0,0.0665,0.971,160.109,173947
4nuUssdgKFy2QyYHHNkZQW,Sunday Bloody Sunday - Remastered 2008,66,4Saua162eaEOksYc8TrB74,rock,classic rock,0.543,0.944,6,-7.495,1,0.0543,0.402,5.64E-04,0.0373,0.735,101.174,279440
32kgOw8wejH7zUhtXCM8DH,More Than a Feeling,19,01OahkTPRCleDjobtRk7ST,rock,classic rock,0.377,0.682,7,-8.039,1,0.0299,8.94E-04,0.00217,0.0504,0.288,108.736,285133
1t8VoYuUY5oA2QKbquMZQp,Down Came the Rain,49,4JjLldxv4cJVhZpkyJIq4C,rock,classic rock,0.548,0.823,0,-7.313,1,0.037,0.105,0.914,0.651,0.574,114.02,208093
3d9snMJKWWca3FB7PwJ5gx,What’s My Name,35,5Oi2l8yztQLKvJ9uAYOe81,rock,classic rock,0.479,0.84,7,-5.629,1,0.031,0.00687,6.47E-04,0.214,0.725,149.968,225227
2w9kljwEMm6gVFhPSQrzmE,I Hear You Paint Houses,5,2qITKFsI1RfUGjpjHfCHYB,rock,classic rock,0.758,0.627,9,-7.831,1,0.0523,0.116,7.27E-04,0.106,0.601,98.507,303067
0luikRcaiVx5eejcYyNh3Y,Estonia,31,3Y5v6jQ1cCV7uSHzzW6If2,rock,classic rock,0.359,0.489,5,-10.294,1,0.0329,0.659,1.67E-04,0.0999,0.195,146.655,477018
5wTM2Bm8phDwHAuOsfBwhU,2000 Miles - 2007 Remaster,70,48NYXFdasUBuSeO3RAolt3,rock,permanent wave,0.22,0.708,7,-9.051,1,0.035,0.00292,0.0267,0.102,0.453,66.214,220427
